id,Category,Sub_Category,title/entity_name,questions,answers,additional_info/tags
1,Placements,General Information,Highest Package,"What is the highest package?
What's the top salary offered?
Tell me about the best placement package.
highest placement package
maximum salary package
Who offered the highest package?
Which company gave the biggest package?",The highest package offered was 36.5 LPA by Trilogy Innovations during the 2022-2023 session.,"placements, package, salary, highest, maximum, top"
2,Placements,General Information,Average Package,"What is the average package?
What's the average salary?
Tell me the average placement stats.
average placement package
typical salary offer
What is the mean package?",The average placement package is approximately 4.19 LPA.,"placements, package, salary, average, mean, typical"
3,Placements,General Information,Lowest Package,"What is the lowest package?
What's the minimum salary offered?
lowest placement package
minimum salary package",The lowest package recorded was 1.03 LPA by Endive during the 2016-2017 session.,"placements, package, salary, lowest, minimum"
4,Placements,Company Information,Flipkart Package (2024-2025),"What was the package from Flipkart in 2024-2025?
Tell me the salary Flipkart offered.
Flipkart ctc","In the 2024-2025 session, Flipkart offered a package of 32.0 LPA.","placements, company, flipkart, package, salary, ctc, 2024-2025"
5,Placements,Company Information,Flipkart Visiting Date (2024-2025),"When did Flipkart visit for placements in 2024-2025?
Flipkart campus visit date?",Flipkart visited for recruitments on 10th Aug 2024 during the 2024-2025 session.,"placements, company, flipkart, date, visit, schedule, 2024-2025"
6,Placements,Company Information,Flipkart Eligible Branches (2024-2025),"Which branches were eligible for Flipkart in 2024-2025?
Who could apply for Flipkart?
Flipkart eligibility","For the 2024-2025 placement drive, the eligible branches for Flipkart were: CSE, IT, AIDS, ECE, EE, ME.","placements, company, flipkart, branches, eligibility, apply, 2024-2025"
7,Placements,Company Information,DeltaX Package (2024-2025),"What was the package from DeltaX in 2024-2025?
Tell me the salary DeltaX offered.
DeltaX ctc","In the 2024-2025 session, DeltaX offered a package of 7.0 LPA.","placements, company, deltax, package, salary, ctc, 2024-2025"
8,Placements,Company Information,DeltaX Visiting Date (2024-2025),"When did DeltaX visit for placements in 2024-2025?
DeltaX campus visit date?",DeltaX visited for recruitments on 22nd Aug 2024 during the 2024-2025 session.,"placements, company, deltax, date, visit, schedule, 2024-2025"
9,Placements,Company Information,DeltaX Eligible Branches (2024-2025),"Which branches were eligible for DeltaX in 2024-2025?
Who could apply for DeltaX?
DeltaX eligibility","For the 2024-2025 placement drive, the eligible branches for DeltaX were: CSE, IT, AIDS.","placements, company, deltax, branches, eligibility, apply, 2024-2025"
10,Placements,Company Information,Recruit CRM Package (2024-2025),"What was the package from Recruit CRM in 2024-2025?
Tell me the salary Recruit CRM offered.
Recruit CRM ctc","In the 2024-2025 session, Recruit CRM offered a package of 7.0 LPA.","placements, company, recruit_crm, package, salary, ctc, 2024-2025"
11,Placements,Company Information,Recruit CRM Visiting Date (2024-2025),"When did Recruit CRM visit for placements in 2024-2025?
Recruit CRM campus visit date?",Recruit CRM visited for recruitments on 27th Aug 2024 during the 2024-2025 session.,"placements, company, recruit_crm, date, visit, schedule, 2024-2025"
12,Placements,Company Information,Recruit CRM Eligible Branches (2024-2025),"Which branches were eligible for Recruit CRM in 2024-2025?
Who could apply for Recruit CRM?
Recruit CRM eligibility","For the 2024-2025 placement drive, the eligible branches for Recruit CRM were: CSE.","placements, company, recruit_crm, branches, eligibility, apply, 2024-2025"
13,Placements,Company Information,HDFC Life Package (2024-2025),"What was the package from HDFC Life in 2024-2025?
Tell me the salary HDFC Life offered.
HDFC Life ctc","In the 2024-2025 session, HDFC Life offered a package of 4.75 LPA.","placements, company, hdfc_life, package, salary, ctc, 2024-2025"
14,Placements,Company Information,HDFC Life Visiting Date (2024-2025),"When did HDFC Life visit for placements in 2024-2025?
HDFC Life campus visit date?",HDFC Life visited for recruitments on 29th Aug 2024 during the 2024-2025 session.,"placements, company, hdfc_life, date, visit, schedule, 2024-2025"
15,Placements,Company Information,HDFC Life Eligible Branches (2024-2025),"Which branches were eligible for HDFC Life in 2024-2025?
Who could apply for HDFC Life?
HDFC Life eligibility","For the 2024-2025 placement drive, the eligible branches for HDFC Life were: MBA.","placements, company, hdfc_life, branches, eligibility, apply, 2024-2025"
16,Placements,Company Information,BOSCH Package (2024-2025),"What was the package from BOSCH in 2024-2025?
Tell me the salary BOSCH offered.
BOSCH ctc","In the 2024-2025 session, BOSCH offered a package of 4.5 LPA.","placements, company, bosch, package, salary, ctc, 2024-2025"
17,Placements,Company Information,BOSCH Visiting Date (2024-2025),"When did BOSCH visit for placements in 2024-2025?
BOSCH campus visit date?",BOSCH visited for recruitments on 30th Aug 2024 during the 2024-2025 session.,"placements, company, bosch, date, visit, schedule, 2024-2025"
18,Placements,Company Information,BOSCH Eligible Branches (2024-2025),"Which branches were eligible for BOSCH in 2024-2025?
Who could apply for BOSCH?
BOSCH eligibility","For the 2024-2025 placement drive, the eligible branches for BOSCH were: ECE, EE, ME.","placements, company, bosch, branches, eligibility, apply, 2024-2025"
19,Placements,Company Information,IN TIME TEC Package (2024-2025),"What was the package from IN TIME TEC in 2024-2025?
Tell me the salary IN TIME TEC offered.
IN TIME TEC ctc","In the 2024-2025 session, IN TIME TEC offered a package of 5.5 LPA.","placements, company, in_time_tec, package, salary, ctc, 2024-2025"
20,Placements,Company Information,IN TIME TEC Visiting Date (2024-2025),"When did IN TIME TEC visit for placements in 2024-2025?
IN TIME TEC campus visit date?",IN TIME TEC visited for recruitments on 5th Sept 2024 during the 2024-2025 session.,"placements, company, in_time_tec, date, visit, schedule, 2024-2025"
21,Placements,Company Information,IN TIME TEC Eligible Branches (2024-2025),"Which branches were eligible for IN TIME TEC in 2024-2025?
Who could apply for IN TIME TEC?
IN TIME TEC eligibility","For the 2024-2025 placement drive, the eligible branches for IN TIME TEC were: CSE, IT, AIDS, ECE, EE, ME.","placements, company, in_time_tec, branches, eligibility, apply, 2024-2025"
22,Placements,Company Information,RoboMQ Package (2024-2025),"What was the package from RoboMQ in 2024-2025?
Tell me the salary RoboMQ offered.
RoboMQ ctc","In the 2024-2025 session, RoboMQ offered a package of 7.0 LPA.","placements, company, robomq, package, salary, ctc, 2024-2025"
23,Placements,Company Information,RoboMQ Visiting Date (2024-2025),"When did RoboMQ visit for placements in 2024-2025?
RoboMQ campus visit date?",RoboMQ visited for recruitments on 9th Sept 2024 during the 2024-2025 session.,"placements, company, robomq, date, visit, schedule, 2024-2025"
24,Placements,Company Information,RoboMQ Eligible Branches (2024-2025),"Which branches were eligible for RoboMQ in 2024-2025?
Who could apply for RoboMQ?
RoboMQ eligibility","For the 2024-2025 placement drive, the eligible branches for RoboMQ were: CSE, IT, AIDS, ECE.","placements, company, robomq, branches, eligibility, apply, 2024-2025"
